ID,UFINCA,DERECHOS,PLANO_CAT,AREA_PL,AREA_ER,PROVINCIA,CANTON,DISTRITO,DIRECCION,TELEFONO,IMAGEN_PC,IMAGEN_EC,IMAGEN_EP,IMAGEN_PJ,OBSERVAC
"109",2-00284414,"3",A-0144143-1993,"75,700.87","75,700.87",ALAJUELA ,OROTINA ,EL MASTATE ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284414\A-0144143-1993.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284414\2-00284414.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284414\A-0144143-1993_EP.pdf,,
"110",2-00284421,"1",A-1696320-2013,"100,440.00","100,440.00",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284421\A-1696320-2013.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284421\2-00284421.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00284421\A-1696320-2013_EP.pdf,,
"43",2-00217937,"1",A-0658467-1986,"238.07","238.07",SAN JOSE,SANTA ANA ,BRASIL,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00217937\A-0658467-1986.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00217937\2-00217937.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00217937\A-0658467-1986_EP.pdf,,
"39",1-00542465,"1",SJ-0879711-2003,"12,277.74","12,277.74",SAN JOSE,ESCAZU,SAN RAFAEL ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00542465\SJ-0879711-2003.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00542465\1-00542465.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00542465\SJ-0879711-2003_EP.pdf,,
"42",1-00005250-M,"1",SJ-1628548-2012,"26,344.00","26,344.00",SAN JOSE,ESCAZU,SAN RAFAEL ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00005250-M\SJ-1628548-2012.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00005250-M\1-00005250-M.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00005250-M\SJ-1628548-2012_EP.pdf,,
"19",2-00272911,"2",A-0001391-1969,"106,117.53","58,941.70",ALAJUELA,ALAJUELA,GUACIMA,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00272911\A-0001391-1969.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00272911\2-00272911.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00272911\A-0001391-1969_EP.pdf,,
"20",2-00305638,"5",A-1949291-2017,"11,232.00","11,232.00",ALAJUELA,ALAJUELA,GUACIMA,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00305638\A-1949291-2017.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00305638\2-00305638.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00305638\A-1949291-2017_EP.pdf,,
"45",2-00151057,"1",A-2318897-2021,"47,677.00","47,677.00",ALAJUELA,ATENAS,CONCEPCION,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00151057\A-2318897-2021.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00151057\2-00151057.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00151057\A-2318897-2021_EP.pdf,,
"14",2-00014826,"2",NO SE INDICA,,"304,019.76",ALAJUELA,ALAJUELA,GUACIMA,,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00014826\2-00014826.pdf,,,
"64",1-00074453,"1",NO SE INDICA,,"37,939.99",SAN JOSE,SANTA ANA ,BRASIL,,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00074453\1-00074453.pdf,,,
