ID,NUMERO,PROPIETARIO,NUMERO_EXP,UFINCA,PLANO_EXP,AREA_EXP,TIPO_EXP,SECCION,KM_INI,KM_FI,FECHA_IN,OFICIO_IN,FECHA_FI,FINCA_MAD,MONTO_AVA,NUM_AVA,ESTADO,IMAGEN_PE,OBSERVAC,PROCESO
"158",SIII-23-87-7,,,,SIII-23-87-7,"0",PARCIAL,"3",70+325,70+400,05-JUN-2023,CNC-APD-0127-2023,,2-00283196,,,,,,SIN INICIAR
"163",SIII-23-92,,,,SIII-23-92,"0",PARCIAL,"3",72+940,72+950,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"164",SIII-23-93,,,,SIII-23-93,"0",PARCIAL,"3",72+975,73+060,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"166",SIII-23-98-1,,,,SIII-23-98-1,"0",PARCIAL,"3",74+310,74+476,05-JUN-2023,CNC-APD-0127-2023,,6-00100541,,,,,,SIN INICIAR
"167",SIII-23-99-1,,,,SIII-23-99-1,"0",PARCIAL,"3",74+308,74+643,05-JUN-2023,CNC-APD-0127-2023,,6-00097558,,,,,,SIN INICIAR
"168",SIII-23-100,,,,SIII-23-100,"0",PARCIAL,"3",74+685,74+760,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"169",SIII-23-101,,,,SIII-23-101,"0",PARCIAL,"3",74+690,74+845,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"170",SIII-23-102,,,,SIII-23-102,"0",PARCIAL,"3",74+870,74+950,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"171",SIII-23-103,,,,SIII-23-103,"0",PARCIAL,"3",74+918,75+177,05-JUN-2023,CNC-APD-0127-2023,,,,,,,,SIN INICIAR
"143",SIII-23-75-5,,,,A-0039264-2023,"211",PARCIAL,"3",57+670,57+700,05-JUN-2023,CNC-APD-0127-2023,,2-00380979,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0039264-2023.pdf,,SIN INICIAR
"52",SII-9,,2020-09,,A-2205699-2020,"729",PARCIAL,"2",29+380,29+460,01-ENE-2020,,,2-00533451,"0.00",006-2020,DESESTIMADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2205699-2020.pdf,,DESESTIMADO
"130",SIII-23-67-5,,,,A-0044680-2023,"2893",PARCIAL,"3",54+600,54+750,05-JUN-2023,CNC-APD-0127-2023,,2-00261269,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0044680-2023.pdf,,SIN INICIAR
"69",SII-20,,2020-16,,A-2224984-2020,"859",PARCIAL,"2",40+700,40+860,01-ENE-2020,,,2-00514539,"10662187.00",016-2020,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2224984-2020.pdf,,EN PROCESO
"72",SI-1A (SI-21-1),,2021-05,,SJ-2308297-2021,"26",PARCIAL,"1",6+330,6+350,01-ENE-2021,,,1-00555111,"11382148.00",006-2021,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2308297-2021.pdf,,EN PROCESO
"51",SII-5,,SN,,SJ-2229685-2020,"215",PARCIAL,"2",16+065,16+130,01-ENE-2020,,,1-00234647-A,,,DESESTIMADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2229685-2020.pdf,,DESESTIMADO
"23",P-5,,2019-16,,A-2156346-2019,"655",PARCIAL,"2",20+950,21+015,01-ENE-2019,,,2-00305638,"20582010.00",030-2019,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2156346-2019.pdf,,EN PROCESO
